Timestamp;Country;Gender;Age;Group;HighSchool;MonthsAbroad;MusicStreamingService;MinutesStreamMusic;VideoStreamingService;MinutesStreamVideo;PayVideo;PayMusic
04/10/2018 0:14;Spain;Female;23;A;Partially State-funded School;0;Spotify;30;YouTube;40;No;No
04/10/2018 8:49;Spain;Male;20;A;Partially State-funded School;0;Spotify;90;Netflix;40;Yes;Yes
04/10/2018 17:44;Australia;Female;25;A;Private;48;Spotify;350;Netflix;200;Yes;Yes
04/10/2018 17:45;Spain;Female;22;A;Private;9;Spotify;90;Netflix;60;No;Yes
04/10/2018 17:46;Spain;Female;22;A;Private;0;Spotify;90;Netflix;90;No;Yes
04/10/2018 17:48;Spain;Female;23;A;Partially State-funded School;6;Spotify;20;Netflix;15;Yes;No
04/10/2018 17:49;Spain;Female;22;A;Public School;10;Spotify;90;Netflix;60;Yes;No
04/10/2018 17:51;Spain;Male;23;A;Partially State-funded School;18;Spotify;400;Netflix;100;Yes;Yes
04/10/2018 17:52;Australia;Male;30;A;Private;42;Spotify;120;Netflix;60;No;Yes
04/10/2018 17:52;Spain;Female;24;A;Partially State-funded School;14;Spotify;120;Netflix;20;Yes;No
04/10/2018 18:05;Spain;Male;29;A;Partially State-funded School;5;Spotify;500;Netflix;176;Yes;Yes
05/10/2018 17:24;Spain;Male;21;A;Private;26;Spotify;90;Netflix;60;Yes;Yes
05/10/2018 17:31;Spain;Male;21;A;Private;8;Spotify;60;Netflix;60;Yes;Yes
05/10/2018 17:34;Spain;Female;20;A;Partially State-funded School;2;Spotify;45;Netflix;40;Yes;Yes
06/10/2018 7:16;United States of America;Male;22;A;Public School;4;Spotify;120;None of them;0;Yes;No
06/10/2018 17:25;Spain;Female;44;A;Public School;0;None of them;0;Netflix;25;No;No
06/10/2018 17:36;Peru;Male;42;B;Partially State-funded School;0;None of them;0;Netflix;15;No;No
08/10/2018 19:14;Germany;Female;20;A;Partially State-funded School;13;Apple Music;120;Amazon Prime;200;Yes;Yes
11/10/2018 17:39;Spain;Male;21;A;Public School;0;Apple Music;45;Netflix;120;Yes;No
11/10/2018 17:39;Spain;Female;33;A;Public School;20;None of them;0;Netflix;60;No;No
11/10/2018 17:42;Spain;Female;23;A;Partially State-funded School;9;Spotify;30;HBO;120;No;No
11/10/2018 17:47;Spain;Female;23;A;Private;5;Spotify;60;Netflix;60;Yes;No
11/10/2018 17:49;Spain;Female;22;A;Public School;0;Spotify;120;Netflix;60;Yes;No
11/10/2018 17:51;Spain;Female;22;A;Partially State-funded School;1;Spotify;60;Netflix;40;Yes;No
11/10/2018 18:05;Spain;Female;23;A;Private;0;Spotify;120;Netflix;60;No;No
11/10/2018 18:18;Spain;Female;20;A;Private;5;Spotify;0;None of them;0;No;No
11/10/2018 18:21;Spain;Female;21;A;Public School;15;Spotify;300;Netflix;100;No;No
11/10/2018 18:40;Spain;Female;21;A;Public School;9;Spotify;180;Netflix;45;Yes;Yes
11/10/2018 19:41;Spain;Male;34;A;Public School;8;None of them;0;Netflix;60;No;No
11/10/2018 21:44;Spain;Male;22;A;Public School;10;Spotify;180;None of them;0;No;Yes
11/10/2018 21:54;Spain;Female;58;A;Private;0;None of them;0;None of them;0;No;No
11/10/2018 22:04;Spain;Male;22;A;Public School;0;Spotify;75;Amazon Prime;60;No;Yes
12/10/2018 0:05;Spain;Female;22;A;Partially State-funded School;0;Spotify;120;None of them;0;No;No
12/10/2018 11:51;Spain;Female;33;A;Public School;20;None of them;0;Netflix;60;No;No
12/10/2018 19:53;Spain;Female;58;A;Private;0;None of them;0;None of them;0;No;No
13/10/2018 20:59;Spain;Male;22;A;Public School;8;None of them;0;None of them;0;No;No
15/10/2018 13:40;Canada;Male;26;A;Private;13;Spotify;120;None of them;0;No;No
